sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4098;3.9491;9.0147;0.5714;3.705;9.0618;-0.1022;0.2144;-0.1733;-0.072;-0.1243;0.0412;9918.353;-47.26;9.75;-26.06;66.01;-22.26;-3.49;5.0;53.933;12.931802;77.68337;819.92;879.2446289;0.0;12.864;;10 / 19;7;2018-08-06 08:40:34:765
0.1584;3.1734;9.0914;0.4097;3.396;9.1908;-0.2642;-0.2682;-0.1827;0.1655;0.0664;0.1265;10535.72;-46.49;13.01;-26.36;67.23;-20.0;-2.56;5.0;44.648;12.931798;77.68337;820.17;879.2446289;0.0;9.648001;;9 / 19;507;2018-08-06 08:40:35:265
0.6205;3.3841;5.8688;1.636;3.9994;8.8033;-0.539;-0.3209;-3.244;1.1722;-2.2186;-0.4882;10647.048;-48.97;11.93;-20.79;62.55;-24.07;-10.53;5.0;44.119;12.931798;77.68337;820.17;879.2446289;0.0;9.648001;;9 / 19;1007;2018-08-06 08:40:35:765
7.0657;-6.7242;5.7131;8.9898;1.9045;3.4244;-2.0543;-8.771;2.8414;0.9549;3.5317;5.57;11411.166;-39.23;24.55;9.36;32.74;-19.19;-72.58;5.0;47.873;12.9318;77.68339;820.22;879.2446289;0.0;8.576;;10 / 19;1508;2018-08-06 08:40:36:266
9.7185;-6.4585;0.8984;6.3645;-7.2827;1.6201;6.3474;1.8475;-1.6821;-3.1027;0.0174;-2.1393;196.5989;-0.86;29.22;20.33;40.14;49.03;-72.1;0.0;51.321;12.9318;77.68339;820.22;879.2446289;0.0;8.576;;10 / 19;2007;2018-08-06 08:40:36:765
12.5891;-7.136;4.2191;7.4933;-6.3148;0.3802;4.0693;-1.2495;2.9078;-0.4779;-0.3171;0.3768;84.2566;-2.75;32.41;14.52;33.53;38.77;-87.21;0.0;46.821;12.9318;77.68339;820.22;879.2446289;0.0;8.576;;10 / 19;2507;2018-08-06 08:40:37:265
10.0082;-9.5733;3.8768;7.522;-6.1625;1.2702;3.0583;-4.3497;4.379;-0.4672;-2.4018;-1.2903;22.4684;-4.69;36.15;16.36;32.11;40.0;-77.84;0.0;50.044;12.931801;77.68343;825.01;879.2446289;1.8;8.576;78.2;11 / 20;3008;2018-08-06 08:40:37:766
-1.3379;-11.29;3.781;8.0792;-5.488;-0.8827;-10.008;-5.9346;3.9217;0.3147;0.2081;-0.1878;12.6385;-2.31;35.49;8.77;19.14;33.96;-97.27;0.0;48.286;12.931783;77.68347;816.37;879.2446289;3.92;7.504;98.9;11 / 20;3507;2018-08-06 08:40:38:265
4.4848;-12.0298;-8.8652;2.3053;-9.4058;1.5447;1.9528;-2.7963;-9.7867;-0.7996;2.4771;-0.3785;0.0;15.42;21.25;15.54;10.46;73.65;-56.01;0.0;49.435;12.931783;77.68347;816.37;879.2446289;3.92;7.504;98.9;11 / 20;3971;2018-08-06 08:40:38:729
-8.1159;-13.7392;3.939;0.3966;-9.6214;-1.8554;-11.8937;-4.0405;5.9782;0.4542;-0.7017;1.7382;0.0;27.22;10.04;8.32;75.07;77.61;-152.96;0.0;64.465;12.931757;77.6835;814.98;879.2446289;4.5;7.504;64.9;11 / 20;4471;2018-08-06 08:40:39:229
-3.1695;-17.6825;1.4084;-0.6212;-9.7135;-1.1967;-0.0847;-7.1537;0.0138;-2.2856;0.8366;-1.9476;0.0;23.21;3.42;18.45;173.12;82.74;134.78;0.0;54.104;12.931757;77.6835;814.98;879.2446289;4.5;7.504;64.9;11 / 20;4971;2018-08-06 08:40:39:729
-2.8367;-15.1494;0.0125;-0.0377;-9.7084;-1.3843;-2.6209;-5.4353;1.1607;1.576;1.3383;1.6338;0.0;27.01;6.49;14.03;100.03;78.35;-167.33;0.0;56.608;12.931752;77.68352;815.46;879.2446289;7.09;6.432;72.9;11 / 20;5471;2018-08-06 08:40:40:229
-0.4066;-8.8455;1.078;-1.0555;-9.7459;-0.2708;-1.6235;2.5531;1.2319;2.0095;0.9378;1.3877;0.0;28.54;4.85;20.39;181.94;84.05;122.69;0.0;53.181;12.931749;77.683556;818.44;879.2446289;5.26;5.36;80.9;13 / 20;6531;2018-08-06 08:40:41:289
0.3739;-4.1002;2.3589;1.3405;-9.0219;-3.6027;-0.4907;4.0273;0.3042;-2.292;-1.4548;-1.7026;0.0;20.31;-0.78;29.73;125.48;71.66;-162.31;0.0;48.507;12.931749;77.683556;818.44;879.2446289;5.26;5.36;80.9;13 / 20;7030;2018-08-06 08:40:41:788
2.227;-10.9236;-1.1127;-1.2774;-9.7226;-0.0989;1.7566;-0.3103;-0.0587;1.7677;1.1678;1.1513;0.0;27.93;5.85;23.42;202.82;83.28;107.16;0.0;56.033;12.931747;77.68356;819.48;879.2446289;5.08;5.36;81.1;13 / 20;7531;2018-08-06 08:40:42:289
-2.0179;-2.5942;0.3501;1.5473;-8.8298;-3.9762;-3.4753;6.5577;4.3191;-0.8624;-1.3749;-1.3202;0.0;22.2;-2.6;30.23;124.69;68.53;-161.54;0.0;49.553;12.931747;77.68356;819.48;879.2446289;5.08;5.36;81.1;13 / 20;8030;2018-08-06 08:40:42:788
1.5255;-9.2956;-1.0936;-1.3836;-9.7021;0.3538;3.4895;0.5064;-1.4358;1.1733;1.1828;0.6644;0.0;30.8;6.82;22.82;225.3;82.47;82.5;0.0;58.364;12.931747;77.68358;820.54;879.2446289;5.08;4.288;80.2;12 / 20;8530;2018-08-06 08:40:43:288
