sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.9309;3.6475;8.9309;-2.6418;1.0015;9.3909;-1.802;0.93;-3.2093;-1.5407;-0.9507;-0.6847;24897.09;-35.9;10.04;-22.42;74.69;-5.86;15.71;5.0;60.412;12.931872;77.683586;;NaN;;42.055;;0 / 0;6;2018-08-09 08:52:10:075
1.9852;2.6156;9.4385;1.5648;2.7929;9.2694;-0.139;0.4957;0.0757;1.0863;-0.645;-0.6645;20099.846;-39.0;12.79;-13.14;64.28;-13.14;-10.97;5.0;56.383;12.931872;77.683586;;NaN;;42.055;;0 / 0;506;2018-08-09 08:52:10:575
2.7154;4.7153;7.2215;1.5366;4.5874;8.5302;-0.0434;-0.9155;0.2224;-0.4967;-0.3733;-0.2756;15535.379;-41.76;4.43;-11.27;72.94;-27.89;-10.21;5.0;59.211;12.931872;77.683586;;NaN;;42.055;;0 / 0;1007;2018-08-09 08:52:11:076
-1.4505;-0.7986;2.6031;6.3816;3.2307;6.7088;-4.4911;-3.2044;-0.7583;-0.5404;-3.0056;5.791;20666.607;-42.9;4.33;-2.64;78.8;-18.23;-14.56;5.0;58.47;12.931872;77.683586;;NaN;;42.055;;0 / 0;1506;2018-08-09 08:52:11:575
8.2125;-4.524;4.03;7.563;-4.7595;4.0397;3.6312;1.0588;2.504;1.1757;-0.4191;0.0109;594.0094;-7.79;35.99;20.73;35.03;32.21;-62.5;0.0;62.728;12.931872;77.683586;;NaN;;42.055;;0 / 0;2006;2018-08-09 08:52:12:075
9.4025;-3.7291;5.5072;8.0359;-5.5644;0.7953;1.162;2.7411;-3.5422;0.1744;-0.1496;1.0069;185.3646;1.08;37.26;18.69;28.57;27.96;-82.31;0.0;54.78;12.931872;77.683586;;NaN;;42.055;;0 / 0;2507;2018-08-09 08:52:12:576
8.5453;-4.1217;2.4043;6.1283;-7.4896;1.5875;1.1898;3.8082;-0.3272;-0.9047;0.0496;0.8972;14.0428;8.74;34.37;24.91;31.02;39.09;-74.51;0.0;54.254;12.931872;77.683586;;NaN;;42.055;;0 / 0;3006;2018-08-09 08:52:13:075
6.5725;-11.4073;4.018;7.18;-6.5197;-1.4531;-1.9881;-1.9537;3.1932;-1.333;-1.9222;-0.8988;0.0;2.14;24.0;36.12;60.13;48.38;-83.61;0.0;57.071;12.931872;77.683586;;NaN;;42.055;;0 / 0;3506;2018-08-09 08:52:13:575
-0.0163;-9.2812;0.4243;2.6479;-9.3719;1.1513;-0.6034;4.1837;1.1305;1.4335;0.8251;2.0733;0.0;21.84;19.79;31.48;59.81;59.15;-106.31;0.0;62.551;12.931872;77.683586;;NaN;;42.055;;0 / 0;4007;2018-08-09 08:52:14:076
5.6531;-7.9764;-2.5612;1.21;-9.5977;-1.6096;0.6564;-14.2112;5.1185;-2.6475;-1.8615;-0.0914;0.0;20.85;12.22;40.12;340.85;76.6;-7.87;0.0;61.876;12.931872;77.683586;;NaN;;42.055;;0 / 0;4506;2018-08-09 08:52:14:575
-8.3123;9.9562;7.7314;0.8895;-9.6624;-1.4201;-2.328;2.6341;0.9576;1.1619;-0.2242;1.3393;0.0;33.42;6.12;30.76;99.71;80.16;-147.94;0.0;61.604;12.931872;77.683586;;NaN;;42.055;;0 / 0;5006;2018-08-09 08:52:15:075
0.9844;-13.4136;-1.8358;-0.5439;-9.4308;-2.6333;-0.9181;-1.7139;2.2466;-2.1873;0.8102;-1.5827;0.0;29.64;2.12;34.41;250.39;65.82;70.97;0.0;58.288;12.931872;77.683586;;NaN;;42.055;;0 / 0;5506;2018-08-09 08:52:15:575
-7.9268;-1.6605;9.2757;-1.3981;-9.5325;-1.8297;-3.182;3.0551;4.2066;0.7251;-1.0924;0.5936;0.0;37.36;-5.63;23.83;130.52;71.47;172.88;0.0;62.738;12.931872;77.683586;;NaN;;42.055;;0 / 0;6006;2018-08-09 08:52:16:075
2.421;-14.4383;-1.8382;-2.2031;-9.5513;-0.2996;3.8069;-3.4954;-0.8206;-0.8621;0.8698;-0.9595;0.0;37.42;-6.68;24.64;231.7;67.46;71.75;0.0;58.878;12.931872;77.683586;;NaN;;42.055;;0 / 0;6507;2018-08-09 08:52:16:576
-1.5223;-4.7179;-3.3585;0.0619;-9.5062;-2.408;2.2301;-6.0973;-7.0361;-0.0749;-0.9347;-0.5334;0.0;43.87;1.45;15.77;104.28;72.11;-175.37;0.0;61.262;12.931872;77.683586;;NaN;;42.055;;0 / 0;7006;2018-08-09 08:52:17:075
-2.1687;-9.3555;0.4172;-3.3562;-9.1055;1.4125;3.5675;-0.1264;-0.3589;0.2788;0.5034;0.2176;0.0;42.43;-3.05;17.45;223.75;74.53;68.63;0.0;56.838;12.931872;77.683586;;NaN;;42.055;;0 / 0;7506;2018-08-09 08:52:17:575
0.8288;-7.0881;-4.3066;-0.4567;-9.5456;-2.2006;6.4378;-8.9265;-10.9057;1.4751;-0.3243;0.7225;0.0;42.01;1.72;10.92;115.24;76.75;168.28;0.0;63.661;12.931872;77.683586;;NaN;;42.055;;0 / 0;8006;2018-08-09 08:52:18:075
-1.0363;-8.8;-1.4647;-2.6306;-9.2643;1.8502;1.9493;0.0629;-3.0808;0.7401;0.8208;0.7747;0.0;39.39;2.13;16.78;219.09;79.2;75.29;0.0;60.947;12.931872;77.683586;;NaN;;42.055;;0 / 0;8506;2018-08-09 08:52:18:575
-2.152;-2.7522;1.9303;0.3386;-8.9604;-3.9708;-2.7119;6.4121;6.2372;1.5337;-1.6069;0.5308;0.0;41.49;0.92;17.29;105.7;66.02;-175.13;0.0;61.396;12.931872;77.683586;;NaN;;42.055;;0 / 0;9007;2018-08-09 08:52:19:076
-6.44;-8.3475;0.9918;-3.1803;-9.0957;1.823;6.4419;-5.8826;-4.5905;-0.0759;0.8933;-0.1446;0.0;32.2;1.76;29.6;259.51;72.91;54.91;0.0;66.893;12.931872;77.683586;;NaN;;42.055;;0 / 0;9506;2018-08-09 08:52:19:575
3.8024;-28.0637;-20.1826;-0.2498;-9.3498;-2.9476;1.9006;-7.6959;-9.3428;-0.8792;-0.7334;-0.7507;0.0;32.94;-6.93;27.07;122.94;63.32;-172.83;0.0;59.891;12.931872;77.683586;;NaN;;42.055;;0 / 0;10006;2018-08-09 08:52:20:075
-2.5901;-9.2214;-0.7081;-3.6789;-8.9382;1.6564;1.9117;-0.9415;-2.2206;0.3608;0.5833;0.5883;0.0;27.93;3.82;28.72;249.89;74.12;68.36;0.0;62.016;12.931872;77.683586;;NaN;;42.055;;0 / 0;10506;2018-08-09 08:52:20:575
-3.61;-1.8281;3.441;-0.6155;-9.4373;-2.5938;-1.3232;6.6413;4.3421;2.568;-1.2128;0.861;0.0;26.7;-4.07;29.11;130.39;65.08;-174.16;0.0;61.513;12.931872;77.683586;;NaN;;42.055;;0 / 0;11006;2018-08-09 08:52:21:075
-4.8957;-5.2231;1.552;-3.2544;-9.1028;1.6488;0.4882;0.1057;-1.5637;0.9318;0.758;0.9856;0.0;25.15;2.94;29.73;259.58;68.16;63.13;0.0;59.264;12.931872;77.683586;;NaN;;42.055;;0 / 0;11507;2018-08-09 08:52:21:576
-1.4433;-3.3484;0.8697;0.3207;-8.8338;-4.2464;-3.5988;6.5711;7.4519;0.2149;-1.3843;-0.3555;0.0;27.06;-7.99;26.62;147.89;73.27;167.86;0.0;60.553;12.931872;77.683586;;NaN;;42.055;;0 / 0;12006;2018-08-09 08:52:22:075
-1.2757;-8.9436;1.5041;-2.6044;-9.3868;1.1296;-1.2865;1.2368;-1.9154;1.065;1.0999;0.4679;0.0;29.59;-2.68;25.45;243.1;73.17;66.55;0.0;61.098;12.931872;77.683586;;NaN;;42.055;;0 / 0;12506;2018-08-09 08:52:22:575
-3.385;-2.1585;2.8233;-0.6995;-9.4857;-2.3878;0.575;1.7902;-1.5232;2.1899;-0.9028;0.9729;0.0;29.43;-4.18;24.07;122.66;64.08;-173.46;0.0;61.999;12.931872;77.683586;;NaN;;42.055;;0 / 0;13006;2018-08-09 08:52:23:075
-1.6923;-9.2262;-0.3346;-3.1719;-9.1473;1.5609;1.228;-0.0702;-0.7022;0.7901;0.4991;0.9973;0.0;30.86;3.1;22.76;227.1;77.35;80.9;0.0;57.496;12.931872;77.683586;;NaN;;42.055;;0 / 0;13506;2018-08-09 08:52:23:575
-4.1846;-3.0659;2.5408;0.5103;-8.9352;-4.0089;-4.1966;5.9615;6.3516;0.5717;-0.9379;0.0684;0.0;24.46;-2.24;29.09;144.38;73.18;175.36;0.0;58.277;12.931872;77.683586;;NaN;;42.055;;0 / 0;14007;2018-08-09 08:52:24:076
