sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.4903;-11.3881;-1.6299;0.3755;-9.616;1.8875;-3.8266;-1.5112;-3.6555;0.3094;-0.3651;-0.4658;0.0;22.16;-1.27;-49.15;215.08;78.88;-10.1;0.0;63.402;;;;NaN;;;;0 / 0;9509;2018-08-03 08:45:32:158
1.4609;-4.8711;-0.5884;-3.0192;-8.9511;-2.6331;4.3501;3.9917;1.8258;1.7038;-0.119;-0.4935;0.0;31.67;9.96;-36.98;79.09;63.52;134.14;0.0;57.889;;;;NaN;;;;0 / 0;10010;2018-08-03 08:45:32:659
1.2646;-9.0035;-0.6602;-0.6763;-9.7389;0.9311;0.6702;0.9038;-1.2653;0.9176;-2.2048;0.3097;0.0;30.71;3.54;-39.31;182.53;83.26;35.99;0.0;64.958;;;;NaN;;;;0 / 0;10510;2018-08-03 08:45:33:159
0.7809;-7.4664;2.5073;-2.7493;-9.0068;-2.7366;3.355;1.1933;4.9151;-0.61;1.3905;1.8746;0.0;31.55;11.89;-32.62;78.83;68.26;137.01;0.0;58.772;;;;NaN;;;;0 / 0;11009;2018-08-03 08:45:33:658
2.5479;-13.9834;3.8433;-1.4199;-9.6782;-0.6982;5.7869;-2.3804;3.0868;-0.6504;0.6342;-1.0411;0.0;35.17;7.03;-25.83;115.56;80.71;116.18;0.0;58.947;;;;NaN;;;;0 / 0;11509;2018-08-03 08:45:34:158
-2.5398;-10.5789;-8.4438;-0.9919;-9.7523;0.2823;-1.8136;-0.4461;-8.5725;-3.5693;1.5482;1.6541;0.0;36.12;6.22;-23.08;186.07;84.09;47.47;0.0;61.014;;;;NaN;;;;0 / 0;12009;2018-08-03 08:45:34:658
-0.3443;-16.8038;0.568;-2.4053;-9.4432;-1.1004;3.9646;-4.0278;5.1178;1.3437;-1.4111;-0.9793;0.0;41.02;3.64;-18.69;128.4;74.35;114.58;0.0;59.806;;;;NaN;;;;0 / 0;12510;2018-08-03 08:45:35:159
-5.5709;-11.9963;5.0308;0.1178;-9.6822;1.5527;-5.6038;-2.0206;3.3169;-0.2446;0.027;-0.0227;0.0;31.0;7.69;-30.38;231.69;80.39;-3.95;0.0;58.46;12.93214;77.68374;;NaN;;23.944;;0 / 0;13009;2018-08-03 08:45:35:658
-14.4318;-20.6369;-13.96;-2.3501;-9.3641;-1.7207;-14.386;-12.5655;-11.2757;1.3331;-0.7549;-0.7662;0.0;39.03;7.31;-25.23;106.25;71.94;127.59;0.0;60.803;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;13511;2018-08-03 08:45:36:160
0.8767;-9.5398;0.5656;-0.424;-9.6901;1.4463;0.1587;-0.1644;-0.0879;0.3253;-0.5323;-0.8397;0.0;29.08;3.2;-34.89;203.79;81.16;16.34;0.0;59.889;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;14009;2018-08-03 08:45:36:658
4.1089;-3.2455;1.6358;-3.2392;-8.699;-3.1632;7.4915;5.6781;4.9583;0.0164;1.4395;0.7699;0.0;35.32;11.58;-25.87;89.84;63.27;133.73;0.0;57.166;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;14510;2018-08-03 08:45:37:159
-4.8574;-10.4687;-2.4272;-0.4787;-9.7883;0.3611;-4.0044;-0.2377;-6.3913;0.5309;-0.6303;-0.1505;0.0;37.17;9.75;-26.14;181.96;86.49;52.97;0.0;60.674;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;15010;2018-08-03 08:45:37:659
-12.2794;-11.6826;-3.89;-2.4616;-9.0649;-2.8176;-5.1306;0.2762;3.9926;-0.7644;0.0227;2.7247;0.0;33.34;13.69;-31.16;75.8;70.97;144.62;0.0;63.079;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;15510;2018-08-03 08:45:38:159
-1.314;-14.0601;6.8719;-0.859;-9.7407;-0.7429;1.2293;-3.6092;6.1557;-0.3916;1.7985;-0.958;0.0;36.07;8.04;-31.61;96.37;83.35;130.86;0.0;64.011;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;16010;2018-08-03 08:45:38:659
3.6492;-12.4104;9.0818;-1.7056;-9.3627;-2.3667;6.0512;-2.6317;5.5998;-1.4302;-1.2365;0.6943;0.0;32.54;12.61;-33.61;76.98;75.27;145.09;0.0;61.368;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;16509;2018-08-03 08:45:39:158
-8.6403;-11.9244;-2.7767;-0.2994;-9.7359;-1.1369;-10.6067;-6.2076;3.1771;2.8223;4.3818;-0.8163;0.0;38.0;8.44;-28.57;66.49;83.11;165.25;0.0;61.695;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;17010;2018-08-03 08:45:39:659
4.6667;-10.8351;-1.4336;-1.4564;-9.5842;-1.4804;6.1212;-0.6747;0.0244;-1.3184;-0.4737;0.7347;0.0;32.54;14.04;-31.77;90.46;80.17;131.98;0.0;68.111;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;17510;2018-08-03 08:45:40:159
-2.1256;-17.2324;4.6022;-0.5933;-9.7551;-0.8103;0.5814;-4.7162;3.7131;-0.0912;0.4925;-1.3127;0.0;35.49;12.95;-30.55;83.08;84.12;143.79;0.0;64.192;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;18009;2018-08-03 08:45:40:658
-1.9509;-13.1143;7.1353;-1.9228;-9.3775;-2.1299;1.4448;-3.6752;9.0014;-1.1085;-0.1701;1.7659;0.0;25.4;15.03;-34.05;70.56;75.61;141.76;0.0;69.613;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;18510;2018-08-03 08:45:41:159
-1.4505;-5.9581;2.6055;-0.5669;-9.7819;-0.4041;-1.0179;3.7343;4.3389;3.1504;1.3916;-0.5329;0.0;30.17;8.03;-31.93;79.97;83.82;142.13;0.0;69.218;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;19010;2018-08-03 08:45:41:659
-2.7601;-5.4146;3.1082;-2.4566;-8.9356;-3.208;-1.8972;3.3109;5.6075;-1.3439;1.252;1.8064;0.0;24.94;17.71;-34.9;59.07;69.74;144.58;0.0;62.327;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;19509;2018-08-03 08:45:42:158
-2.6691;-7.5502;-2.3936;-0.2988;-9.8021;-0.0035;-2.3484;2.7404;-4.0744;1.478;-2.1771;-0.0802;0.0;30.81;14.88;-35.62;129.62;88.25;90.67;0.0;68.673;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;20010;2018-08-03 08:45:42:659
0.3093;-5.01;2.8999;-2.9648;-8.9252;-2.7787;3.8073;4.4447;7.0093;-0.5439;1.6217;2.1611;0.0;28.88;16.19;-42.84;70.65;69.06;136.34;0.0;61.532;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;20509;2018-08-03 08:45:43:158
-1.7689;-8.1655;5.5623;-0.4719;-9.7929;-0.2183;-1.4282;1.7498;4.1345;2.0788;1.9881;-0.2837;0.0;30.17;11.07;-44.99;77.48;85.61;135.37;0.0;63.14;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;21010;2018-08-03 08:45:43:659
-0.2103;-7.0115;2.4929;-2.6008;-9.0534;-2.728;-1.0464;1.2366;4.25;-0.7943;0.5063;2.2868;0.0;22.78;27.21;-40.9;53.61;71.03;141.52;0.0;64.394;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;21510;2018-08-03 08:45:44:159
-2.8439;-8.3571;-5.7527;-0.4636;-9.7951;-0.1104;-1.5164;2.0074;-4.9287;2.4889;-0.1967;-0.6096;0.0;30.01;25.29;-36.69;114.28;87.21;103.4;0.0;64.371;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;22009;2018-08-03 08:45:44:658
-6.1144;-6.1353;-0.021;-1.2132;-9.453;-2.3105;-5.0429;-0.0978;1.2749;-0.4789;1.0539;2.1899;0.0;25.89;32.43;-36.45;48.91;76.37;161.17;0.0;65.165;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;22510;2018-08-03 08:45:45:159
-0.1384;-11.5677;4.1258;1.1218;-9.7422;0.0421;-1.985;-3.6971;5.4413;1.6431;-1.5315;0.2852;0.0;32.82;26.62;-29.51;318.05;83.43;-87.85;0.0;69.571;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;23010;2018-08-03 08:45:45:659
6.3307;-8.3164;17.2891;0.772;-9.281;-3.0721;9.7069;7.8171;10.1133;-0.5876;-8.7359;-0.5233;0.0;19.4;32.83;-28.22;9.04;69.98;-154.64;0.0;63.437;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;23510;2018-08-03 08:45:46:159
-3.8926;-11.345;-5.0273;-2.2286;-9.5382;-0.477;-1.4135;-1.4651;-5.1065;0.9315;-3.7878;0.1776;0.0;15.72;20.82;-41.23;92.62;76.56;102.08;0.0;73.586;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;24009;2018-08-03 08:45:46:658
-5.128;-19.9354;-3.1885;-2.1796;-9.1851;-2.6558;-3.1753;-10.4667;-0.4336;-1.0723;-0.2319;2.3135;0.0;13.0;28.06;-37.99;45.06;72.91;145.48;0.0;72.084;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;24510;2018-08-03 08:45:47:159
-5.2788;-3.7985;8.7011;-6.5506;-5.9697;4.198;1.8894;0.5447;6.0085;0.5576;-0.8029;2.1654;317.5827;3.54;-6.72;-47.38;121.63;37.5;57.35;5.0;70.332;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;25009;2018-08-03 08:45:47:658
